Player,Pos,40yd,Round
Zay Jones,WR,4.45,2
Nathan Peterman,QB,4.82,5
Curtis Samuel,WR,4.31,2
Christian McCaffrey,RB,4.48,1
Mitchell Trubisky,QB,4.67,1
Adam Shaheen,TE,4.79,2
Tarik Cohen,RB,4.42,4
John Ross,WR,4.22,1
Josh Malone,WR,4.4,4
Matthew Dayes,RB,4.47,7
DeShone Kizer,QB,4.83,2
David Njoku,TE,4.64,1
Noah Brown,WR,NA,7
Ryan Switzer,WR,4.51,4
Isaiah McKenzie,WR,4.42,5
Jake Butt,TE,NA,5
Carlos Henderson,WR,4.46,3
Michael Roberts,TE,4.86,4
Brad Kaaya,QB,NA,6
Kenny Golladay,WR,4.5,3
Jamaal Williams,RB,4.59,4
Aaron Jones,RB,4.56,5
Malachi Dupre,WR,4.52,7
Deshaun Watson,QB,4.66,1
D'Onta Foreman,RB,NA,3
Marlon Mack,RB,4.5,4
Leonard Fournette,RB,4.51,1
Dede Westbrook,WR,NA,4
Patrick Mahomes,QB,4.8,1
Jehu Chesson,WR,4.47,4
Kareem Hunt,RB,4.62,3
Mike Williams,WR,NA,1
Josh Reynolds,WR,4.52,4
Cooper Kupp,WR,4.62,3
Gerald Everett,TE,4.62,2
Isaiah Ford,WR,4.61,7
Stacy Coley,WR,4.45,7
Bucky Hodges,TE,4.57,6
Dalvin Cook,RB,4.49,2
Rodney Adams,WR,4.44,5
Alvin Kamara,RB,4.56,3
Davis Webb,QB,4.79,3
Wayne Gallman,RB,4.6,4
Evan Engram,TE,4.42,1
Jordan Leggett,TE,NA,5
Chad Hansen,WR,4.53,4
ArDarius Stewart,WR,4.49,3
Elijah McGuire,RB,4.53,6
Elijah Hood,RB,NA,7
Donnel Pumphrey,RB,4.48,4
Mack Hollins,WR,4.53,4
Shelton Gibson,WR,4.5,5
JuJu Smith-Schuster,WR,4.54,2
Joshua Dobbs,QB,4.64,4
James Conner,RB,4.65,3
Trent Taylor,WR,4.63,5
George Kittle,TE,4.52,5
Joe Williams,RB,4.41,4
C.J. Beathard,QB,NA,3
Amara Darboh,WR,4.45,3
Chris Carson,RB,4.58,7
Chris Godwin,WR,4.42,3
O.J. Howard,TE,4.51,1
Jeremy McNichols,RB,4.49,5
Corey Davis,WR,NA,1
Jonnu Smith,TE,4.62,3
Taywan Taylor,WR,4.5,3
Jeremy Sprinkle,TE,4.69,5
Samaje Perine,RB,4.65,4
Robert Davis,WR,4.44,6
Josh Rosen,QB,4.92,1
Christian Kirk,WR,4.47,2
Chase Edmonds,RB,4.55,4
Calvin Ridley,WR,4.43,1
Mark Andrews,TE,4.67,3
Jordan Lasley,WR,4.5,5
Jaleel Scott,WR,4.56,4
Lamar Jackson,QB,NA,1
Hayden Hurst,TE,4.67,1
Ray-ray McCloud,WR,4.53,6
Josh Allen,QB,4.75,1
D.J. Moore,WR,4.42,1
Ian Thomas,TE,4.74,4
Javon Wims,WR,4.53,7
Anthony Miller,WR,NA,2
Mark Walton,RB,4.6,4
Logan Woodside,QB,4.79,7
Auden Tate,WR,4.68,7
Nick Chubb,RB,4.52,2
Antonio Callaway,WR,4.41,4
Baker Mayfield,QB,4.84,1
Dalton Schultz,TE,4.75,4
Bo Scarbrough,RB,4.52,7
Michael Gallup,WR,4.51,3
Cedrick Wilson,WR,4.55,6
Mike White,QB,5.09,5
Royce Freeman,RB,4.54,3
Troy Fumagalli,TE,NA,5
Courtland Sutton,WR,4.54,2
Daesean Hamilton,WR,NA,4
Kerryon Johnson,RB,NA,2
Marquez Valdes-Scantling,WR,4.37,5
Equanimeous St. brown,WR,4.48,6
Jordan Akins,TE,NA,3
Jordan Thomas,TE,4.74,6
Keke Coutee,WR,4.43,4
Deon Cain,WR,4.43,6
Jordan Wilkins,RB,NA,5
Nyheim Hines,RB,4.38,4
Tanner Lee,QB,4.98,6
Justin Jackson,RB,4.52,7
Dylan Cantrell,WR,4.59,6
John Kelly,RB,NA,6
Kalen Ballage,RB,4.46,4
Durham Smythe,TE,4.81,4
Mike Gesicki,TE,4.54,2
Tyler Conklin,TE,4.8,5
Braxton Berrios,WR,NA,6
Ryan Izzo,TE,4.94,7
Sony Michel,RB,4.54,1
Danny Etling,QB,4.76,7
Kyle Lauletta,QB,4.81,4
Saquon Barkley,RB,4.4,1
Sam Darnold,QB,4.85,1
Marcell Ateman,WR,4.62,7
Dallas Goedert,TE,NA,2
James Washington,WR,4.54,2
Jaylen Samuels,TE,4.54,5
Mason Rudolph,QB,4.9,3
Dante Pettis,WR,NA,2
Rashaad Penny,RB,4.46,1
